id,doi,status,source,url,note
1,10.14573/altex.2206031,download_failed,unpaywall,https://www.altex.org/index.php/altex/article/download/2504/2562/24836,HTTP 403 ct=text/html; charset=utf-8
2,10.3389/ftox.2022.816370,already_downloaded,,,
3,10.1016/j.neuro.2013.11.008,no_open_pdf_found,,,
4,10.1016/j.neuro.2012.05.001,already_downloaded,,,
5,10.1016/j.taap.2018.01.017,no_open_pdf_found,,,
6,10.1016/S0378-4274(99)00034-X,no_open_pdf_found,,,
7,10.1080/15569543.2017.1366922,no_open_pdf_found,,,
8,10.1016/0165-1218(95)90007-1,no_open_pdf_found,,,
9,https://pubmed.ncbi.nlm.nih.gov/22041748/,no_doi_found,,,
10,10.1016/j.toxlet.2016.12.009,no_open_pdf_found,,,
11,10.1016/0006-8993(87)91645-3,download_failed,unpaywall,https://linkinghub.elsevier.com/science/article/pii/0006899387916453,HTTP 403 ct=text/html
12,"https://www.pjoes.com/The-Influence-of-Selected-Pyrethroid-on-the-Growth-r-nand-Number-of-Mutants-in-Saccharomyces,88002,0,2.html",no_doi_found,,,
13,10.1016/0048-3575(87)90118-0,no_open_pdf_found,,,
14,10.1016/0048-3575(85)90141-5,no_open_pdf_found,,,
15,10.1016/j.neuropharm.2011.10.023,no_open_pdf_found,,,
16,10.1289/ehp.1003394,download_failed,unpaywall,https://ehp.niehs.nih.gov/doi/epdf/10.1289/ehp.1003394,HTTP 403 ct=text/html; charset=utf-8
17,10.1124/jpet.105.092478,no_open_pdf_found,,,
18,10.1016/j.bmc.2012.02.048,no_open_pdf_found,,,
19,10.15419/bmrat.v10i2.792,already_downloaded,,,
20,10.1111/j.1439-0272.2009.00986.x,no_open_pdf_found,,,
21,10.26650/IstanbulJPharm.2021.881724,already_downloaded,,,
22,10.1016/j.pestbp.2017.03.005,no_open_pdf_found,,,
23,10.3390/molecules28176303,download_failed,unpaywall,https://www.mdpi.com/1420-3049/28/17/6303/pdf?version=1693303375,HTTP 403 ct=text/html
24,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
25,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
26,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
27,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
28,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
29,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
30,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
31,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
32,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
33,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
34,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
35,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
36,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
37,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
38,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
39,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
40,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
41,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
42,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
43,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
44,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
45,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
46,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
47,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
48,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
49,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
50,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
51,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
52,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
53,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
54,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
55,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
56,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
57,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
58,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
59,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
60,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
61,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
62,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
63,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
64,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
65,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
66,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
67,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
68,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
69,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
70,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
71,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
72,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
73,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
74,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
75,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
76,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
77,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
78,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
79,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
80,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
81,10.22427/NTP-DATA-DTXSID8020381,no_open_pdf_found,,,
82,10.14573/altex.2206031,download_failed,unpaywall,https://www.altex.org/index.php/altex/article/download/2504/2562/24836,HTTP 403 ct=text/html; charset=utf-8
83,10.1093/toxsci/kfx169,download_failed,unpaywall,https://academic.oup.com/toxsci/article-pdf/160/1/121/21348991/kfx169.pdf,HTTP 403 ct=text/html; charset=utf-8
84,10.1016/j.taap.2018.01.017,no_open_pdf_found,,,
85,10.1016/j.etap.2003.11.005,no_open_pdf_found,,,
86,10.1177/026119290403200410,download_failed,crossref,https://journals.sagepub.com/doi/pdf/10.1177/026119290403200410,HTTP 403 ct=text/html; charset=utf-8
87,10.1093/toxsci/kfab151,download_failed,crossref,https://academic.oup.com/toxsci/advance-article-pdf/doi/10.1093/toxsci/kfab151/42559397/kfab151.pdf,HTTP 403 ct=text/html; charset=utf-8
88,10.1016/j.etap.2003.11.005,no_open_pdf_found,,,
89,10.1002/tox.20569,no_open_pdf_found,,,
90,10.1093/toxsci/kfv154,download_failed,unpaywall,https://academic.oup.com/toxsci/article-pdf/147/2/607/10917451/kfv154.pdf,HTTP 403 ct=text/html; charset=utf-8
91,10.1016/j.chemosphere.2019.125341,no_open_pdf_found,,,
